Date,Clouds
2009-01-01,48
2009-02-01,44
2009-03-01,42
2009-04-01,34
2009-05-01,26
2009-06-01,23
2009-07-01,18
2009-08-01,26
2009-09-01,30
2009-10-01,33
2009-11-01,26
2009-12-01,60
2010-01-01,51
2010-02-01,51
2010-03-01,33
2010-04-01,36
2010-05-01,22
2010-06-01,29
2010-07-01,24
2010-08-01,14
2010-09-01,24
2010-10-01,50
2010-11-01,30
2010-12-01,44
2011-01-01,39
2011-02-01,46
2011-03-01,36
2011-04-01,33
2011-05-01,34
2011-06-01,24
2011-07-01,14
2011-08-01,18
2011-09-01,19
2011-10-01,29
2011-11-01,17
2011-12-01,30
2012-01-01,27
2012-02-01,51
2012-03-01,32
2012-04-01,34
2012-05-01,34
2012-06-01,13
2012-07-01,15
2012-08-01,18
2012-09-01,20
2012-10-01,20
2012-11-01,34
2012-12-01,36
2013-01-01,40
2013-02-01,58
2013-03-01,46
2013-04-01,28
2013-05-01,20
2013-06-01,22
2013-07-01,23
2013-08-01,19
2013-09-01,15
2013-10-01,19
2013-11-01,41
2013-12-01,28
2014-01-01,36
2014-02-01,38
2014-03-01,38
2014-04-01,45
2014-05-01,31
2014-06-01,25
2014-07-01,17
2014-08-01,19
2014-09-01,30
2014-10-01,40
2014-11-01,46
2014-12-01,47
2015-01-01,30
2015-02-01,33
2015-03-01,48
2015-04-01,27
2015-05-01,20
2015-06-01,25
2015-07-01,10
2015-08-01,15
2015-09-01,34
2015-10-01,31
2015-11-01,12
2015-12-01,19
2016-01-01,28
2016-02-01,29
2016-03-01,31
2016-04-01,29
2016-05-01,26
2016-06-01,17
2016-07-01,23
2016-08-01,15
2016-09-01,19
2016-10-01,25
2016-11-01,19
2016-12-01,16
2017-01-01,36
2017-02-01,24
2017-03-01,27
2017-04-01,21
2017-05-01,22
2017-06-01,15
2017-07-01,14
2017-08-01,14
2017-09-01,15
2017-10-01,17
2017-11-01,33
2017-12-01,22
2018-01-01,28
2018-02-01,43
2018-03-01,38
2018-04-01,14
2018-05-01,24
2018-06-01,25
2018-07-01,17
2018-08-01,16
2018-09-01,16
2018-10-01,17
2018-11-01,31
2018-12-01,28
2019-01-01,45
2019-02-01,24
2019-03-01,21
2019-04-01,33
2019-05-01,20
2019-06-01,26
2019-07-01,24
2019-08-01,14
2019-09-01,19
2019-10-01,20
2019-11-01,50
2019-12-01,38
2020-01-01,23
2020-02-01,32
2020-03-01,51
2020-04-01,48
2020-05-01,37
2020-06-01,38
2020-07-01,28
2020-08-01,30
2020-09-01,15
2020-10-01,20
2020-11-01,26
2020-12-01,58
2021-01-01,53
2021-02-01,32
2021-03-01,45
2021-04-01,46
2021-05-01,30
2021-06-01,35
2021-07-01,17
2021-08-01,18
2021-09-01,27
2021-10-01,42
2021-11-01,43
2021-12-01,41
2022-01-01,31
2022-02-01,40
2022-03-01,47
2022-04-01,35
2022-05-01,35
2022-06-01,38
2022-07-01,18
2022-08-01,31
2022-09-01,28
2022-10-01,20
2022-11-01,35
2022-12-01,50
2023-01-01,52
2023-02-01,28
2023-03-01,40
2023-04-01,53
2023-05-01,64
2023-06-01,47
2023-07-01,15
2023-08-01,13
2023-09-01,23
2023-10-01,25
2023-11-01,36
2023-12-01,31
2024-01-01,30
2024-02-01,38
2024-03-01,47
2024-04-01,30
2024-05-01,51
2024-06-01,22
2024-07-01,16
2024-08-01,18
2024-09-01,30
