"","year","Rain","Avg_Temp","Max_Temp","Min_Temp","Pressure","Snow","Sun_Hours","Max_Wind","Avg_Wind","Avg_Gust","Clouds"
"1",2009,74.2458333333333,15.25,20.5,11,1015,0.575,222.333333333333,11.6,7.01666666666667,13.9583333333333,34.1666666666667
"2",2010,65.7641666666667,15.25,20.6666666666667,10.8333333333333,1013.93333333333,2.6,223.25,11.4,6.89166666666667,14.2083333333333,34
"3",2011,51.3825,14.5,20.0833333333333,9.41666666666667,1017.675,1.36666666666667,250.833333333333,10,5.89166666666667,12.3416666666667,28.25
"4",2012,60.6125,15.5833333333333,21.1666666666667,10.6666666666667,1016.10833333333,0.6,249.166666666667,10.3666666666667,6.33333333333333,13.575,27.8333333333333
"5",2013,55.2141666666667,15.75,21.1666666666667,11,1015.46666666667,0.0416666666666667,245.416666666667,10.275,6.36666666666667,13.625,29.9166666666667
"6",2014,85.7716666666667,15.4166666666667,20.6666666666667,10.9166666666667,1015.55833333333,0.358333333333333,225.75,9.6,5.86666666666667,12.5,34.3333333333333
"7",2015,66.4283333333333,15.3333333333333,20.8333333333333,10.8333333333333,1017.50833333333,0.158333333333333,261.166666666667,9.81666666666667,6.04166666666667,12.6666666666667,25.3333333333333
"8",2016,41.2508333333333,15.5,21.25,10.8333333333333,1016.84166666667,0.408333333333333,275.25,9.80833333333333,6.10833333333333,13.2583333333333,23.0833333333333
"9",2017,51.1408333333333,15.75,21.4166666666667,11.1666666666667,1017.3,1.03333333333333,280.75,10.3166666666667,6.53333333333333,13.6166666666667,21.6666666666667
"10",2018,56.2233333333333,16.5833333333333,21.6666666666667,12.3333333333333,1016.05,0.0333333333333333,270.333333333333,10.875,6.79166666666667,13.6416666666667,24.75
"11",2019,70.2283333333333,16.5833333333333,21.5833333333333,12.25,1015.96666666667,1.25,251.583333333333,9.70833333333333,6.1,12.35,27.8333333333333
"12",2020,56.9875,16.5,21.1666666666667,11.6666666666667,1016.96666666667,0,229.75,9,5.26666666666667,11.4333333333333,33.8333333333333
"13",2021,68.8066666666667,15.8333333333333,20.9166666666667,11.4166666666667,1016.15,0.416666666666667,223.916666666667,10.1416666666667,5.50833333333333,12.0833333333333,35.75
"14",2022,55.015,16.25,21.6666666666667,11.25,1017.14166666667,0.258333333333333,231.25,9.5,5.14166666666667,10.7583333333333,34
"15",2023,61.641,18,23.6,13.2,1015.64,0,219.3,11.14,5.51,10.31,36
