"","quarters","Rain","Avg_Temp","Max_Temp","Min_Temp","Pressure","Snow","Sun_Hours","Max_Wind","Avg_Wind","Avg_Gust","Clouds"
"1",2009 Q1,297.31,18,32,7,3042.4,6.9,519,39.9,24.2,47.6,134
"2",2009 Q2,167.26,57,74,42,3045.9,0,741,33.6,20,39.6,83
"3",2009 Q3,101.41,73,91,59,3047.9,0,792,30.3,18.2,37.4,74
"4",2009 Q4,324.97,35,49,24,3043.8,0,616,35.4,21.8,42.9,119
"5",2010 Q1,233.76,21,33,10,3042.8,27.4,476,39.4,24.2,48.3,135
"6",2010 Q2,116.58,57,75,42,3039.4,0,722,37.1,23,45.6,87
"7",2010 Q3,159.54,75,95,60,3040.5,0,878,31,17.9,37.9,62
"8",2010 Q4,279.29,30,45,18,3044.5,3.8,603,29.3,17.6,38.7,124
"9",2011 Q1,133,18,33,5,3058.7,7.5,522,28.8,17,35.3,121
"10",2011 Q2,224.42,54,72,36,3044.7,0,721,34.1,20.4,43,91
"11",2011 Q3,99.82,77,95,61,3042.1,0,966,30.4,17.8,37.4,51
"12",2011 Q4,159.35,25,41,11,3066.6,8.9,801,26.7,15.5,32.4,76
"13",2012 Q1,168.37,14,28,2,3062.1,7.2,613,37.2,22.7,47.1,110
"14",2012 Q2,210.98,58,77,41,3036.6,0,762,32.1,20,43.2,81
"15",2012 Q3,103.61,80,99,63,3044.2,0,889,27.8,16.8,37.1,53
"16",2012 Q4,244.39,35,50,22,3050.4,0,726,27.3,16.5,35.5,90
"17",2013 Q1,295.97,21,34,9,3038.4,0.5,448,34.2,21.9,46.2,144
"18",2013 Q2,140.92,60,79,43,3040,0,844,32.1,19.3,41.8,70
"19",2013 Q3,47.49,76,94,60,3044.4,0,899,29.6,18.5,40.3,57
"20",2013 Q4,178.19,32,47,20,3062.8,0,754,27.4,16.7,35.2,88
"21",2014 Q1,249.45,25,41,13,3050.9,4.3,617,27.1,16.6,35,112
"22",2014 Q2,206.04,55,72,38,3037.7,0,662,31.7,19.2,41.2,101
"23",2014 Q3,191.24,73,91,58,3040.2,0,904,28.4,17.3,38.2,66
"24",2014 Q4,382.53,32,44,22,3057.9,0,526,28,17.3,35.6,133
"25",2015 Q1,311.91,18,32,8,3051.5,1.9,554,32.3,20.6,43.7,111
"26",2015 Q2,230.13,55,73,38,3046.1,0,811,31.8,19,38.6,72
"27",2015 Q3,117.64,77,95,62,3045.6,0,906,26.3,16.2,35.5,59
"28",2015 Q4,137.46,34,50,22,3066.9,0,863,27.4,16.7,34.2,62
"29",2016 Q1,221.55,24,39,13,3048.8,2.3,685,32.4,20,42.8,88
"30",2016 Q2,137.26,59,77,41,3038.4,0,806,33.6,20.7,43.1,72
"31",2016 Q3,36.3,76,95,61,3046.5,0,926,25.7,16.1,37.5,57
"32",2016 Q4,99.9,27,44,15,3068.4,2.6,886,26,16.5,35.7,60
"33",2017 Q1,178.02,19,35,7,3061,11.3,711,26.8,16.8,37.1,87
"34",2017 Q2,136.68,58,77,41,3045.8,0,876,32,19.4,41,58
"35",2017 Q3,75.45,78,97,63,3045.1,0,965,32.2,20.5,43.2,43
"36",2017 Q4,223.54,34,48,23,3055.7,1.1,817,32.8,21.7,42.1,72
"37",2018 Q1,202.89,24,37,13,3043.4,0.4,586,37.4,23.1,45.7,109
"38",2018 Q2,225.7,64,80,49,3041.7,0,871,33,20.3,42.4,63
"39",2018 Q3,124.8,76,94,61,3045.3,0,977,31,20,39.4,49
"40",2018 Q4,121.29,35,49,25,3062.2,0,810,29.1,18.1,36.2,76
"41",2019 Q1,202.7,23,37,12,3052.6,15,681,31.5,22,41,90
"42",2019 Q2,196.67,57,73,42,3042.8,0,768,34.6,22.1,42.4,79
"43",2019 Q3,138.12,79,96,64,3045.5,0,933,28.6,15.6,33.3,57
"44",2019 Q4,305.25,40,53,29,3050.7,0,637,21.8,13.5,31.5,108
"45",2020 Q1,219.81,24,36,12,3060.6,0,661,24.9,15.8,33.5,106
"46",2020 Q2,236.98,55,70,38,3044.2,0,528,29.4,17.3,37.2,123
"47",2020 Q3,33.48,81,98,63,3041.5,0,874,31.1,16.2,36.4,73
"48",2020 Q4,193.58,38,50,27,3057.3,0,694,22.6,13.9,30.1,104
"49",2021 Q1,224.14,22,35,13,3053.6,5,528,28,17.1,37.9,130
"50",2021 Q2,172.93,55,71,40,3044.8,0,644,30.7,16.5,36.1,111
"51",2021 Q3,47.4,81,101,63,3040.4,0,914,39.1,18.2,38.1,62
"52",2021 Q4,381.21,32,44,21,3055,0,601,23.9,14.3,32.9,126
"53",2022 Q1,183.5,19,32,7,3063.7,3.1,610,28.1,16.5,33.7,118
"54",2022 Q2,188.1,58,76,42,3044.1,0,641,31.8,16.1,34,108
"55",2022 Q3,177.08,78,97,59,3038.1,0,846,32.1,16.8,33.5,77
"56",2022 Q4,111.5,40,55,27,3059.8,0,678,22,12.3,27.9,105
"57",2023 Q1,105.53,26,40,15,3057,0,567,29.3,17.2,30.1,120
"58",2023 Q2,411.15,53,68,39,3041.5,0,387,30.9,15.4,33.2,164
"59",2023 Q3,77.49,82,103,63,3040.5,0,964,42.3,18.3,33.6,51
"60",2023 Q4,22.24,19,25,15,1017.4,0,275,8.9,4.2,6.2,25
