,Έτος,Δέντρα,Παραγωγή (κιλά),Λάδι (κιλά),Απόδοση,τιμή ελαιολάδου / κιλό
0,2004.0,200.0,825.0,166.0,0.2012121212,1.91
1,2005.0,200.0,1304.0,273.0,0.2093558282,3.67
2,2006.0,200.0,1901.0,373.0,0.1962125197,3.67
3,2007.0,200.0,,,,
4,2008.0,180.0,1033.0,267.0,0.2584704743,4.0
5,2009.0,180.0,2316.0,529.0,0.2284110535,5.5
6,2010.0,180.0,1558.0,323.0,0.2073170732,4.5
7,2011.0,180.0,758.0,214.0,0.2823218997,4.5
8,2012.0,180.0,718.0,136.0,0.1894150418,0.6
9,2013.0,180.0,1716.0,481.0,0.2803030303,4.5
10,2014.0,180.0,2200.0,450.0,0.2045454545,4.5
11,2015.0,185.0,282.0,54.5,0.1932624113,4.5
12,2016.0,185.0,2221.0,654.0,0.2944619541,4.5
13,2017.0,185.0,368.0,90.0,0.2445652174,4.5
14,2018.0,185.0,2887.0,831.0,0.2878420506,2.8
15,2019.0,185.0,230.0,45.0,0.1956521739,4.0
16,2020.0,185.0,3350.0,840.0,0.2507462687,4.0
17,2021.0,185.0,120.0,30.0,0.25,4.0
18,2022.0,185.0,4348.0,852.7,0.1961131555,4.25
19,2023.0,130.0,75.8,13.1,0.172823219,7.0
20,2024.0,130.0,744.0,187.1,0.2514784946,7.0
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
