Date,Pressure
2009-01-01,1016.9
2009-02-01,1012.5
2009-03-01,1013
2009-04-01,1015.8
2009-05-01,1016.8
2009-06-01,1013.3
2009-07-01,1013.9
2009-08-01,1016.2
2009-09-01,1017.8
2009-10-01,1015.5
2009-11-01,1017
2009-12-01,1011.3
2010-01-01,1015.5
2010-02-01,1009.4
2010-03-01,1017.9
2010-04-01,1016.9
2010-05-01,1011.6
2010-06-01,1010.9
2010-07-01,1013.2
2010-08-01,1012.5
2010-09-01,1014.8
2010-10-01,1016.7
2010-11-01,1013.5
2010-12-01,1014.3
2011-01-01,1020.2
2011-02-01,1017.8
2011-03-01,1020.7
2011-04-01,1015.1
2011-05-01,1015.9
2011-06-01,1013.7
2011-07-01,1010.9
2011-08-01,1014.7
2011-09-01,1016.5
2011-10-01,1020.8
2011-11-01,1026
2011-12-01,1019.8
2012-01-01,1020
2012-02-01,1019.7
2012-03-01,1022.4
2012-04-01,1009.6
2012-05-01,1012.4
2012-06-01,1014.6
2012-07-01,1013
2012-08-01,1015.2
2012-09-01,1016
2012-10-01,1015.3
2012-11-01,1019
2012-12-01,1016.1
2013-01-01,1014.4
2013-02-01,1013.4
2013-03-01,1010.6
2013-04-01,1015.5
2013-05-01,1011.5
2013-06-01,1013
2013-07-01,1015.1
2013-08-01,1014.7
2013-09-01,1014.6
2013-10-01,1020.7
2013-11-01,1016.3
2013-12-01,1025.8
2014-01-01,1017
2014-02-01,1018.4
2014-03-01,1015.5
2014-04-01,1011.5
2014-05-01,1012.3
2014-06-01,1013.9
2014-07-01,1012.1
2014-08-01,1012.9
2014-09-01,1015.2
2014-10-01,1018.9
2014-11-01,1020.3
2014-12-01,1018.7
2015-01-01,1018.6
2015-02-01,1015.7
2015-03-01,1017.2
2015-04-01,1016.6
2015-05-01,1014
2015-06-01,1015.5
2015-07-01,1014.7
2015-08-01,1015.5
2015-09-01,1015.4
2015-10-01,1018.9
2015-11-01,1019.3
2015-12-01,1028.7
2016-01-01,1018.6
2016-02-01,1017.4
2016-03-01,1012.8
2016-04-01,1012.4
2016-05-01,1012.6
2016-06-01,1013.4
2016-07-01,1013.3
2016-08-01,1015.8
2016-09-01,1017.4
2016-10-01,1020.1
2016-11-01,1020.3
2016-12-01,1028
2017-01-01,1022
2017-02-01,1022.7
2017-03-01,1016.3
2017-04-01,1016.6
2017-05-01,1014.6
2017-06-01,1014.6
2017-07-01,1013.8
2017-08-01,1015.9
2017-09-01,1015.4
2017-10-01,1018.9
2017-11-01,1017.7
2017-12-01,1019.1
2018-01-01,1020.2
2018-02-01,1014.2
2018-03-01,1009
2018-04-01,1016.4
2018-05-01,1013.8
2018-06-01,1011.5
2018-07-01,1011.6
2018-08-01,1015.1
2018-09-01,1018.6
2018-10-01,1020.3
2018-11-01,1021.2
2018-12-01,1020.7
2019-01-01,1012.2
2019-02-01,1022.2
2019-03-01,1018.2
2019-04-01,1015.3
2019-05-01,1012
2019-06-01,1015.5
2019-07-01,1012.7
2019-08-01,1015.6
2019-09-01,1017.2
2019-10-01,1018
2019-11-01,1014.7
2019-12-01,1018
2020-01-01,1025.7
2020-02-01,1018.8
2020-03-01,1016.1
2020-04-01,1017.5
2020-05-01,1016
2020-06-01,1010.7
2020-07-01,1013.6
2020-08-01,1012.5
2020-09-01,1015.4
2020-10-01,1016
2020-11-01,1024.7
2020-12-01,1016.6
2021-01-01,1013.8
2021-02-01,1021.2
2021-03-01,1018.6
2021-04-01,1016.2
2021-05-01,1013.8
2021-06-01,1014.8
2021-07-01,1011.6
2021-08-01,1012.1
2021-09-01,1016.7
2021-10-01,1020.7
2021-11-01,1018.4
2021-12-01,1015.9
2022-01-01,1020.5
2022-02-01,1019
2022-03-01,1024.2
2022-04-01,1013.1
2022-05-01,1017.5
2022-06-01,1013.5
2022-07-01,1013.8
2022-08-01,1010.7
2022-09-01,1013.6
2022-10-01,1021.7
2022-11-01,1017.6
2022-12-01,1020.5
2023-01-01,1018.7
2023-02-01,1024.2
2023-03-01,1014.1
2023-04-01,1012.1
2023-05-01,1015.9
2023-06-01,1013.5
2023-07-01,1012.7
2023-08-01,1011.6
2023-09-01,1016.2
2023-10-01,1017.4
2023-11-01,1012
2023-12-01,1018.3
2024-01-01,1020
2024-02-01,1019
2024-03-01,1015
2024-04-01,1015.3
2024-05-01,1014.9
2024-06-01,1012.9
2024-07-01,1010.6
2024-08-01,1011.3
2024-09-01,1013.2
