Date,Rain
2009-01-01,133.46
2009-02-01,26.8
2009-03-01,137.05
2009-04-01,34.5
2009-05-01,45.15
2009-06-01,87.61
2009-07-01,37.9
2009-08-01,19.11
2009-09-01,44.4
2009-10-01,88.26
2009-11-01,63.43
2009-12-01,173.28
2010-01-01,32.3
2010-02-01,148.46
2010-03-01,53
2010-04-01,16.7
2010-05-01,54.4
2010-06-01,45.48
2010-07-01,131.12
2010-08-01,3.4
2010-09-01,25.02
2010-10-01,191.84
2010-11-01,28.07
2010-12-01,59.38
2011-01-01,49.7
2011-02-01,43.6
2011-03-01,39.7
2011-04-01,39
2011-05-01,111.58
2011-06-01,73.84
2011-07-01,5.9
2011-08-01,61.36
2011-09-01,32.56
2011-10-01,72.42
2011-11-01,2.4
2011-12-01,84.53
2012-01-01,59.89
2012-02-01,72.91
2012-03-01,35.57
2012-04-01,63.78
2012-05-01,127.76
2012-06-01,19.44
2012-07-01,7.6
2012-08-01,18
2012-09-01,78.01
2012-10-01,64.72
2012-11-01,65.72
2012-12-01,113.95
2013-01-01,64.78
2013-02-01,165.28
2013-03-01,65.91
2013-04-01,52.97
2013-05-01,33.23
2013-06-01,54.72
2013-07-01,28.7
2013-08-01,0.5
2013-09-01,18.29
2013-10-01,18.33
2013-11-01,99.98
2013-12-01,59.88
2014-01-01,62.26
2014-02-01,33.88
2014-03-01,153.31
2014-04-01,106.45
2014-05-01,54.98
2014-06-01,44.61
2014-07-01,33.52
2014-08-01,24.7
2014-09-01,133.02
2014-10-01,85.68
2014-11-01,147.99
2014-12-01,148.86
2015-01-01,59.6
2015-02-01,98.71
2015-03-01,153.6
2015-04-01,45.8
2015-05-01,84.53
2015-06-01,99.8
2015-07-01,16.2
2015-08-01,24.04
2015-09-01,77.4
2015-10-01,96.23
2015-11-01,37.83
2015-12-01,3.4
2016-01-01,76.9
2016-02-01,45.75
2016-03-01,98.9
2016-04-01,23.4
2016-05-01,85.96
2016-06-01,27.9
2016-07-01,7.2
2016-08-01,6.1
2016-09-01,23
2016-10-01,47.5
2016-11-01,41.8
2016-12-01,10.6
2017-01-01,66.4
2017-02-01,27.02
2017-03-01,84.6
2017-04-01,26
2017-05-01,72.18
2017-06-01,38.5
2017-07-01,24.12
2017-08-01,23
2017-09-01,28.33
2017-10-01,64.9
2017-11-01,92.2
2017-12-01,66.44
2018-01-01,19.5
2018-02-01,97.74
2018-03-01,85.65
2018-04-01,7.9
2018-05-01,70.7
2018-06-01,147.1
2018-07-01,90.2
2018-08-01,14.9
2018-09-01,19.7
2018-10-01,9.3
2018-11-01,60.29
2018-12-01,51.7
2019-01-01,140.47
2019-02-01,20.63
2019-03-01,41.6
2019-04-01,81.61
2019-05-01,26.1
2019-06-01,88.96
2019-07-01,80.24
2019-08-01,24.8
2019-09-01,33.08
2019-10-01,23.4
2019-11-01,205.46
2019-12-01,76.39
2020-01-01,15.77
2020-02-01,49.02
2020-03-01,155.02
2020-04-01,98.04
2020-05-01,83.87
2020-06-01,55.07
2020-07-01,12.77
2020-08-01,14.57
2020-09-01,6.14
2020-10-01,17.32
2020-11-01,41.1
2020-12-01,135.16
2021-01-01,121.09
2021-02-01,35.06
2021-03-01,67.99
2021-04-01,62.86
2021-05-01,44.91
2021-06-01,65.16
2021-07-01,7.1
2021-08-01,19
2021-09-01,21.3
2021-10-01,210.6
2021-11-01,41.01
2021-12-01,129.6
2022-01-01,62.4
2022-02-01,61
2022-03-01,60.1
2022-04-01,58.9
2022-05-01,21.5
2022-06-01,107.7
2022-07-01,43.01
2022-08-01,104.4
2022-09-01,29.67
2022-10-01,9.4
2022-11-01,57.5
2022-12-01,44.6
2023-01-01,73.7
2023-02-01,2.43
2023-03-01,29.4
2023-04-01,131.9
2023-05-01,182.8
2023-06-01,96.45
2023-07-01,28.7
2023-08-01,9.55
2023-09-01,39.24
2023-10-01,22.24
2023-11-01,69.61
2023-12-01,25.76
2024-01-01,40.26
2024-02-01,25.01
2024-03-01,70.24
2024-04-01,56.65
2024-05-01,62.33
2024-06-01,33.98
2024-07-01,36.14
2024-08-01,31.32
2024-09-01,29.99
